"pfCode","yr","period","periodDesc","aggrLevel","IsLeaf","rgCode","rgDesc","rtCode","rtTitle","rt3ISO","ptCode","ptTitle","pt3ISO","ptCode2","ptTitle2","pt3ISO2","cstCode","cstDesc","motCode","motDesc","cmdCode","cmdDescE","qtCode","qtDesc","qtAltCode","qtAltDesc","TradeQuantity","AltQuantity","NetWeight","GrossWeight","TradeValue","CIFValue","FOBValue","estCode"
"HS","2020","202001","January 2020","0","0","2","Exports","800","Uganda",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,"0",NA,"336198466",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","804","Ukraine",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,"0",NA,"4156659393",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","807","TFYR of Macedonia",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,NA,NA,"507160420",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","818","Egypt",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,NA,NA,"2504288024",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","826","United Kingdom",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,"0",NA,"36091249603",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","834","United Rep. of Tanzania",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,"0",NA,"525897766",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","842","United States of America",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,NA,NA,"128979511214",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","858","Uruguay",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,NA,NA,"478734588",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","860","Uzbekistan",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,NA,NA,"1057828450",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","894","Zambia",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,"0",NA,"1120672998",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","975","ASEAN",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,NA,NA,"87641605773",NA,NA,"0"
